FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden,Donald J. Trump
fips,name,type,totalvote,vote1,vote2
1001,Autauga,County,27639,7450,19764
1003,Baldwin,County,96348,18247,76716
1005,Barbour,County,10457,4772,5605
1007,Bibb,County,9573,1982,7508
1009,Blount,County,27459,2627,24595
1011,Bullock,County,4603,3439,1143
1013,Butler,County,9466,3953,5448
1015,Calhoun,County,50743,15118,34964
1017,Chambers,County,15269,6356,8748
1019,Cherokee,County,12275,1619,10562
1021,Chilton,County,19260,3056,16052
1023,Choctaw,County,7461,3126,4294
1025,Clarke,County,13095,5730,7310
1027,Clay,County,6913,1262,5589
1029,Cleburne,County,7210,672,6472
1031,Coffee,County,22180,5050,16832
1033,Colbert,County,24668,7057,17311
1035,Conecuh,County,6419,2951,3435
1037,Coosa,County,5472,1794,3626
1039,Covington,County,17418,2717,14579
1041,Crenshaw,County,6617,1700,4864
1043,Cullman,County,41751,4454,36804
1045,Dale,County,19699,5154,14281
1047,Dallas,County,17861,12228,5523
1049,DeKalb,County,29322,4271,24744
1051,Elmore,County,40891,10304,30089
1053,Escambia,County,15861,4894,10844
1055,Etowah,County,47460,11487,35343
1057,Fayette,County,8756,1390,7295
1059,Franklin,County,12564,2085,10364
1061,Geneva,County,12538,1592,10844
1063,Greene,County,4771,3880,875
1065,Hale,County,7922,4687,3190
1067,Henry,County,9266,2589,6593
1069,Houston,County,45750,12738,32384
1071,Jackson,County,23602,3709,19644
1073,Jefferson,County,324675,180936,138443
1075,Lamar,County,7187,978,6168
1077,Lauderdale,County,44148,11872,31578
1079,Lawrence,County,15957,3544,12266
1081,Lee,County,70980,27600,42019
1083,Limestone,County,48754,13510,34337
1085,Lowndes,County,6830,4968,1835
1087,Macon,County,8697,7084,1539
1089,Madison,County,193955,86885,102395
1091,Marengo,County,10882,5476,5337
1093,Marion,County,13786,1457,12190
1095,Marshall,County,39492,5880,33094
1097,Mobile,County,181783,78754,100605
1099,Monroe,County,10620,4425,6129
1101,Montgomery,County,98476,64065,33122
1103,Morgan,County,53482,13159,39504
1105,Perry,County,5215,3849,1336
1107,Pickens,County,9659,4017,5590
1109,Pike,County,13796,5613,8020
1111,Randolph,County,10824,2203,8548
1113,Russell,County,21108,11078,9796
1115,St. Clair,County,44346,7698,36119
1117,Shelby,County,114439,33036,79428
1119,Sumter,County,6282,4639,1598
1121,Talladega,County,35591,13092,22210
1123,Tallapoosa,County,20888,5815,14905
1125,Tuscaloosa,County,89760,37514,50961
1127,Walker,County,31106,4826,25947
1129,Washington,County,8861,2253,6554
1131,Wilcox,County,5884,4036,1826
1133,Winston,County,11273,974,10187
2701,District 1,Election District,7147,3401,3429
2702,District 2,Election District,6023,2073,3596
2703,District 3,Election District,8302,1879,6028
2704,District 4,Election District,10415,5301,4644
2705,District 5,Election District,8538,4135,4040
2706,District 6,Election District,9331,3224,5695
2707,District 7,Election District,9614,2212,7023
2708,District 8,Election District,9883,1952,7590
2709,District 9,Election District,10866,2738,7696
2710,District 10,Election District,11190,2724,8069
2711,District 11,Election District,10623,3129,7092
2712,District 12,Election District,11213,2954,7871
2713,District 13,Election District,7550,2607,4557
2714,District 14,Election District,11303,4211,6632
2715,District 15,Election District,5397,2542,2602
2716,District 16,Election District,7970,4189,3460
2717,District 17,Election District,6952,3982,2693
2718,District 18,Election District,7513,4567,2678
2719,District 19,Election District,5186,3056,1928
2720,District 20,Election District,7217,4727,2277
2721,District 21,Election District,9292,5343,3632
2722,District 22,Election District,9350,4490,4585
2723,District 23,Election District,7531,3723,3543
